id;country_of_origin;available;picture_urls;name;vendor;vendor_code;properties;properties_content_type;price;total_rating;description
1;Steel;false;calculating cross-platform Principal;wireless Computer;reboot magenta THX;THX;../fake-data/blob/hipster.png;image/png;93728;44573;Steel
2;withdrawal models partnerships;true;Union compressing;initiative Generic;Lao;Australian;../fake-data/blob/hipster.png;image/png;16473;23281;digital
3;CFP orange;false;Data distributed;auxiliary;COM Implementation Awesome;homogeneous Crossroad;../fake-data/blob/hipster.png;image/png;86573;17814;Bike Shoes Center
4;tangible;true;methodical;Renminbi rich South;virtual Stand-alone Fantastic;Buckinghamshire;../fake-data/blob/hipster.png;image/png;8835;44109;User-friendly Data navigate
5;Harbors Automotive;false;Ergonomic Ergonomic;Handcrafted;relationships;Chair solution Zimbabwe;../fake-data/blob/hipster.png;image/png;788;16003;Balboa Mobility Arkansas
6;Account;true;Martinique Executive Down-sized;transitional;bypassing Chief interactive;online Home Vista;../fake-data/blob/hipster.png;image/png;51362;17748;capacity Administrator CFA
7;Colombian B2C;true;Sleek non-volatile Technician;convergence moratorium Stand-alone;transmit;pink Sausages;../fake-data/blob/hipster.png;image/png;33901;2937;Loan
8;Small Congo Engineer;true;Cheese benchmark;portals Chicken;Pike;Account Representative markets;../fake-data/blob/hipster.png;image/png;98878;29774;mint
9;Industrial;false;back-end application;USB Future;Venezuela JBOD;mint;../fake-data/blob/hipster.png;image/png;95426;63521;redefine
10;Nebraska Producer;false;revolutionize Orchestrator Directives;Guinea-Bissau SCSI;Serbia;content Cordoba;../fake-data/blob/hipster.png;image/png;57103;93365;Plastic
